#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C353
#Date Time: 2025-04-28 16:26:41.791
#Sample rate: 1600Hz
#Samples: 8192
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
0.05714247311827957,-9.03367260185936
0.05776747311827957,-9.041025692355948
0.05839247311827957,-9.096173871080357
0.05901747311827957,-9.09985041632865
0.05964247311827957,-9.048378782852536
0.06026747311827957,-8.956465151645189
0.06089247311827957,-9.000583694624714
0.06151747311827957,-9.007936785121302
0.06214247311827957,-9.011613330369597
0.06276747311827957,-9.004260239873009
0.06339247311827957,-9.022642966114478
0.06401747311827957,-9.052055328100829
0.06464247311827957,-9.092497325832062
0.06526747311827957,-9.077791144838887
0.06589247311827957,-9.055731873349123
0.06651747311827957,-9.088820780583768
0.06714247311827957,-9.154998595053058
0.06776747311827958,-9.09985041632865
0.06839247311827958,-9.136615868811589
0.06901747311827958,-9.092497325832062
0.06964247311827958,-9.077791144838887
0.07026747311827958,-9.059408418597418
0.07089247311827956,-9.044702237604241
0.07151747311827956,-9.059408418597418
0.07214247311827957,-9.132939323563296
0.07276747311827957,-9.121909687818414
0.07339247311827957,-9.191764047535997
0.07401747311827957,-9.191764047535997
0.07464247311827957,-9.103526961576945
0.07526747311827957,-9.158675140301353
0.07589247311827957,-9.188087502287704
0.07651747311827957,-9.243235681012113
0.07714247311827957,-9.239559135763818
0.07776747311827957,-9.202793683280879
0.07839247311827957,-9.243235681012113
0.07901747311827957,-9.26897149775017
0.07964247311827957,-9.143968959308177
0.08026747311827957,-9.129262778315001
0.08089247311827957,-9.202793683280879
0.08151747311827957,-9.232206045267231
0.08214247311827957,-9.210146773777467
0.08276747311827957,-9.213823319025762
0.08339247311827958,-9.188087502287704
0.08401747311827958,-9.280001133495052
0.08464247311827958,-9.272648042998464
0.08526747311827958,-9.265294952501876
0.08589247311827958,-9.349855493212635
0.08651747311827956,-9.382944400447281
0.08714247311827956,-9.283677678743345
0.08776747311827957,-9.276324588246757
0.08839247311827957,-9.302060404984815
0.08901747311827957,-9.30573695023311
0.08964247311827957,-9.246912226260406
0.09026747311827957,-9.250588771508701
0.09089247311827957,-9.232206045267231
0.09151747311827957,-9.28735422399164
0.09214247311827957,-9.239559135763818
0.09276747311827957,-9.228529500018936
0.09339247311827957,-9.302060404984815
0.09401747311827957,-9.298383859736521
0.09464247311827957,-9.35353203846093
0.09526747311827957,-9.368238219454105
0.09589247311827957,-9.324119676474579
0.09651747311827957,-9.309413495481403
0.09714247311827957,-9.360885128957518
0.09776747311827957,-9.386620945695574
0.09839247311827957,-9.375591309950693
0.09901747311827958,-9.283677678743345
0.09964247311827958,-9.298383859736521
0.1002674731182796,-9.30573695023311
0.1008924731182796,-9.232206045267231
0.1015174731182796,-9.235882590515525
0.1021424731182796,-9.243235681012113
0.1027674731182796,-9.291030769239933
0.1033924731182796,-9.261618407253582
0.1040174731182796,-9.302060404984815
0.1046424731182796,-9.28735422399164
0.1052674731182796,-9.35353203846093
0.1058924731182796,-9.33514931221946
0.1065174731182796,-9.33514931221946
0.1071424731182796,-9.368238219454105
0.1077674731182796,-9.349855493212635
